Motif	Factor	Evidence	Curated
GM.5.0.GATA.0001	gata5	Orthologs	N
GM.5.0.GATA.0001	gata5	Orthologs	N
GM.5.0.C2H2_ZF.0002	snai2	Orthologs	N
GM.5.0.C2H2_ZF.0002	snai2	Orthologs	N
GM.5.0.C2H2_ZF.0002	snai1b	Orthologs	N
GM.5.0.C2H2_ZF.0002	snai1a	Orthologs	N
GM.5.0.C2H2_ZF.0002	snai1b	Orthologs	N
GM.5.0.C2H2_ZF.0002	snai1a	Orthologs	N
GM.5.0.C2H2_ZF.0002	snai3	Orthologs	N
GM.5.0.C2H2_ZF.0002	snai3	Orthologs	N
GM.5.0.C2H2_ZF.0002	nhlh2	Orthologs	N
GM.5.0.C2H2_ZF.0002	nhlh2	Orthologs	N
GM.5.0.C2H2_ZF.0002	zeb2b	Orthologs	N
GM.5.0.C2H2_ZF.0002	zeb2a	Orthologs	N
GM.5.0.C2H2_ZF.0002	zeb1a	Orthologs	N
GM.5.0.C2H2_ZF.0002	zeb1b	Orthologs	N
GM.5.0.C2H2_ZF.0002	zeb2b	Orthologs	N
GM.5.0.C2H2_ZF.0002	zeb2a	Orthologs	N
GM.5.0.C2H2_ZF.0002	zeb1a	Orthologs	N
GM.5.0.C2H2_ZF.0002	zeb1b	Orthologs	N
GM.5.0.bZIP.0001	nfyba	Orthologs	N
GM.5.0.bZIP.0001	nfybb	Orthologs	N
GM.5.0.bZIP.0001	nfyba	Orthologs	N
GM.5.0.bZIP.0001	nfybb	Orthologs	N
GM.5.0.bZIP.0001	nfyc	Orthologs	N
GM.5.0.bZIP.0001	nfyc	Orthologs	N
GM.5.0.bZIP.0001	cebpb	Orthologs	N
GM.5.0.bZIP.0001	cebpb	Orthologs	N
GM.5.0.Homeodomain.0002	dlx2b	Orthologs	N
GM.5.0.Homeodomain.0002	dlx2a	Orthologs	N
GM.5.0.Homeodomain.0002	dlx2b	Orthologs	N
GM.5.0.Homeodomain.0002	dlx2a	Orthologs	N
GM.5.0.Homeodomain.0002	msx3	Orthologs	N
GM.5.0.Homeodomain.0002	msx1b	Orthologs	N
GM.5.0.Homeodomain.0002	msx2a	Orthologs	N
GM.5.0.Homeodomain.0002	msx2b	Orthologs	N
GM.5.0.Homeodomain.0002	msx1a	Orthologs	N
GM.5.0.Homeodomain.0002	msx3	Orthologs	N
GM.5.0.Homeodomain.0002	msx1b	Orthologs	N
GM.5.0.Homeodomain.0002	msx2a	Orthologs	N
GM.5.0.Homeodomain.0002	msx2b	Orthologs	N
GM.5.0.Homeodomain.0002	msx1a	Orthologs	N
GM.5.0.Homeodomain.0002	vsx2	Orthologs	N
GM.5.0.Homeodomain.0002	vsx2	Orthologs	N
GM.5.0.Homeodomain.0002	dlx5a	Orthologs	N
GM.5.0.Homeodomain.0002	dlx5a	Orthologs	N
GM.5.0.Homeodomain.0002	dlx6a	Orthologs	N
GM.5.0.Homeodomain.0002	dlx6a	Orthologs	N
GM.5.0.Homeodomain.0002	dlx3b	Orthologs	N
GM.5.0.Homeodomain.0002	dlx3b	Orthologs	N
GM.5.0.Homeodomain.0002	drgx	Orthologs	N
GM.5.0.Homeodomain.0002	drgx	Orthologs	N
GM.5.0.Homeodomain.0002	otpb	Orthologs	N
GM.5.0.Homeodomain.0002	otpa	Orthologs	N
GM.5.0.Homeodomain.0002	otpb	Orthologs	N
GM.5.0.Homeodomain.0002	otpa	Orthologs	N
GM.5.0.Homeodomain.0002	cdx4	Orthologs	N
GM.5.0.Homeodomain.0002	cdx1a	Orthologs	N
GM.5.0.Homeodomain.0002	cdx1b	Orthologs	N
GM.5.0.Homeodomain.0002	cdx4	Orthologs	N
GM.5.0.Homeodomain.0002	cdx1a	Orthologs	N
GM.5.0.Homeodomain.0002	cdx1b	Orthologs	N
GM.5.0.Homeodomain.0002	LOC103910251	Orthologs	N
GM.5.0.Homeodomain.0002	LOC103910251	Orthologs	N
GM.5.0.Ets.0001	erf	Orthologs	N
GM.5.0.Ets.0001	erfl3	Orthologs	N
GM.5.0.Ets.0001	erf	Orthologs	N
GM.5.0.Ets.0001	erfl3	Orthologs	N
GM.5.0.Ets.0001	spi1b	Orthologs	N
GM.5.0.Ets.0001	spi1b	Orthologs	N
GM.5.0.Ets.0001	fev	Orthologs	N
GM.5.0.Ets.0001	fev	Orthologs	N
GM.5.0.Ets.0001	ets2	Orthologs	N
GM.5.0.Ets.0001	ets2	Orthologs	N
GM.5.0.bZIP.0002	jdp2a	Orthologs	N
GM.5.0.bZIP.0002	jdp2a	Orthologs	N
GM.5.0.bZIP.0002	fosaa	Orthologs	N
